tweets,likes,time,source,retweets,tweet_length,zitat
@Eintracht Glückwunsch! 👏👏👏,767,2022-05-18 21:57:03+00:00,Twitter for iPhone,12,27,0
"Falls ihr den @Bitburger #FohlenTalk mit Flaco gerade eben verpasst habt, hier geht's zum Re-live. 😉⤵

https://t.co/JWFfOT6JUq",42,2022-05-18 17:47:38+00:00,Twitter Web App,3,126,0
"2:1 nehmt ihr, oder? Flaco und Borussia wünschen euch viel Erfolg fürs Endspiel. Holt das Ding, @Eintracht! 🏆

#SGERFC #UELfinal https://t.co/VP0fgGX1d9",209,2022-05-18 17:47:36+00:00,Twitter Web App,7,152,0
"Flaco ist bereit, @HrKapellmeister ist bereit, @bitburger steht bereit! 🤩
Um 18:00 startet der #FohlenTalk LIVE bei YouTube! 

🔴 https://t.co/XGrssIIGYb https://t.co/ZT1ReRqSB6",113,2022-05-18 15:56:47+00:00,Twitter for iPhone,7,176,0
Nuestro craaack! ⭐ https://t.co/R6oT76AoGv https://t.co/KHaBayijyH,188,2022-05-18 14:51:45+00:00,Twitter Web App,3,66,0
ℹ Borussia und U23-Cheftrainer Heiko Vogel gehen getrennte Wege. Eugen Polanski wird zur kommenden Spielzeit neuer Cheftrainer der U23 der Fohlen. ⤵,356,2022-05-18 14:36:08+00:00,Twitter for Advertisers,9,148,0
"Steht ihm, oder? 🤩 https://t.co/vBF0gmKTJd https://t.co/sQ3AmLsI3w",213,2022-05-18 14:19:45+00:00,Twitter Web App,4,66,0
Easy! 😎 https://t.co/U4PvRB5YQ8 https://t.co/KSGA9NMlTa,121,2022-05-18 14:11:00+00:00,Twitter Web App,4,55,0
"Heute ab 18:00 𝗹𝗶𝘃𝗲 im @Bitburger #FohlenTalk! ☝📺
🔴 https://t.co/XGrssIIGYb

Spoiler: Es gibt sein Trikot zu gewinnen! 😍 https://t.co/BLdMacj5a3 https://t.co/7PR89x11dy",74,2022-05-18 14:05:52+00:00,Twitter Web App,2,168,1
🦾💚 https://t.co/vf1DfOO52j https://t.co/lnEx5iVeZ3,235,2022-05-18 13:58:49+00:00,Twitter Web App,5,50,0
Die Datenbank platzt! Wen wollt ihr im neuen Trikot sehen? 📸👇 https://t.co/tDpRCzz9S0,396,2022-05-18 13:50:47+00:00,Twitter Web App,4,85,0
"📲 Neues Heimtrikot = neue Wallpaper 😍
#wallpaperwednesdays https://t.co/qoZJwXRlRV",180,2022-05-18 13:20:46+00:00,Twitter Web App,5,82,0
"Wir sind stolz auf euch, Jungs! 💚 #FohlenStall https://t.co/iSnRPq3N8w",262,2022-05-18 11:19:34+00:00,Twitter for iPhone,8,70,0
"Die nächste Folge @Bitburger FohlenTalk steht an! 🍻 Diesmal begrüßt @HrKapellmeister Vereinslegende Flaco. Seid live dabei, wenn unsere Nummer 7 zu Gast ist, macht mit und staubt coole Preise ab 🎁 Also dann, Wecker stellen! ⏰ https://t.co/a8iu8h19C2",76,2022-05-17 16:00:01+00:00,Twitter Web App,4,249,0
"Letzter Monat der Saison = letzte Wahl zum #Cichon-Spieler des Monats. Breel, Hoffi oder Lasso - wer bekommt eure Stimme?

Votet jetzt in der #FohlenApp! 📲 https://t.co/YDxdUbZyqX",93,2022-05-17 15:30:43+00:00,Twitter Web App,2,179,0
Bis Sonntagabend wurden in Borussias Auktionsportal Originaltrikots aus dem Benefizspiel zwischen der #FohlenElf und der Ukraine versteigert – heraus kam dabei eine Summe in Höhe von 9.080 Euro. 🇺🇦,118,2022-05-17 14:33:00+00:00,Twitter for Advertisers,4,197,0
👏👏👏 https://t.co/hVkFpzYbPz,204,2022-05-17 14:02:55+00:00,Twitter Web App,3,27,0
"Nach 3️⃣7️⃣ Jahren verabschieden wir Betreuer-Legende Rolf Hülswitt in den wohlverdienten Ruhestand. 
Ein Mann, der Borussia lebt, der immer da war, immer geradeaus und dessen Stimmung ganz schnell mal kippen konnte, wenn ein Ball gefehlt hat 🖤🤍💚",476,2022-05-17 14:00:30+00:00,Twitter for Advertisers,6,246,0
@Tarix12161985 Leute.. 😅,26,2022-05-17 12:57:48+00:00,Twitter Web App,2,24,0
"TV-Tipp! ☝📺
Hoffi mischt heute ab 18:00 Uhr @DasErste auf. Schaltet ein! https://t.co/aOiQUtuuUA",205,2022-05-17 12:51:56+00:00,Twitter Web App,5,96,0
"@outcrittet Da wir aktuell sehr viele Nachfragen bezüglich der DK-Warteliste erhalten, haben wir die Warteliste ab sofort für Vereinsmitglieder online freigeschaltet. Man muss als Vereinsmitglied eingeloggt sein, um die Warteliste zu sehen. 
🎟 https://t.co/khL3whN7W8",2,2022-05-17 12:33:57+00:00,Twitter Web App,0,267,0
"Give me 🖐!
Welches Tor gefällt euch am besten? ⚽⚽⚽⚽⚽

#BMGTSG https://t.co/k7DLZVuQ45",187,2022-05-17 10:06:06+00:00,Twitter Media Studio,3,85,0
"ℹ Hinweis: Der Einzug der ""DK Plus"" erfolgt in Kalenderwoche 25 und nicht wie in der Mail geschrieben in Kalenderwoche 21. 
Die Bezahlung der Saisonkarte wird bei der Bestellung im Online-Shop durchgeführt, je nachdem, welche Zahlart ausgewählt wird.",29,2022-05-17 08:26:22+00:00,Twitter Web App,2,250,1
"In Zusammenarbeit mit dem @BildungsparkMG vermitteln wir in Workshops Jugendlichen die verschiedenen Ausprägungen von Diskriminierung, Homophobie sowie Sexismus und möchten so unseren Teil zu einer vielfältigen und toleranten Gesellschaft beitragen.

ℹ️➡️https://t.co/7VMuQtu3Mx https://t.co/YCX2LVcAIk",97,2022-05-17 08:17:39+00:00,Twitter Web App,2,302,0
"🏳️‍🌈Borussia und die #FohlenFamilie stehen für Integration, Toleranz und Respekt in einer vielfältigen Gesellschaft!

#IDAHOBIT2022 #FohlenVerantwortung https://t.co/qs3tOoNCAF",364,2022-05-17 08:17:38+00:00,Twitter Web App,20,176,0
"Fête ça bien, 𝐦𝐚𝐠𝐢𝐜𝐢𝐞𝐧! 🎉🧙‍♂️

#HappyBirthday @kne_manu https://t.co/mw6Jm5skam",203,2022-05-17 07:18:00+00:00,Twitter Media Studio,5,79,0
@michael_frontzi @kne_manu 👀 https://t.co/KGkUWo0ZOy,22,2022-05-17 07:16:49+00:00,Twitter Web App,0,52,0
🎉🎂 https://t.co/QXfiACOXOL,236,2022-05-17 06:18:21+00:00,Twitter Web App,3,26,0
"MANUUUUUUUUUUU 💚

2⃣1⃣🥳 Bon anniversaire! Happy Birthday! Herzlichen Glückwunsch zum Geburtstag, @kne_manu! https://t.co/yWz3Hwwftp",794,2022-05-17 05:30:00+00:00,Twitter Web App,17,131,0
"Sorry, konnten uns für kein Bild entscheiden.. 🤷‍♂️📸😍

#Daumenkino https://t.co/l3OmgKtyJB",246,2022-05-16 17:03:00+00:00,Twitter Media Studio,3,90,0
Gemeinsam kicken und die Sorgen für einen Moment vergessen: Mit einem Tag im Camp der #FohlenFussballschule haben @Porsche und Borussia 72 Kindern und Jugendlichen aus der Ukraine einen Moment der Unbeschwertheit geschenkt. ⤵,92,2022-05-16 14:55:00+00:00,Twitter for Advertisers,4,225,1
Nach der Saison ist vor der Saison. Daher beantworten #dieFohlen an dieser Stelle bereits jetzt alle Fragen zu Dauer- und Tageskarten für die kommende Spielzeit. 🎟,137,2022-05-16 14:10:00+00:00,Twitter for Advertisers,4,163,0
"No Luca, no Party! Gut so, Junge! 👏💪 https://t.co/rrCE4XOm27",211,2022-05-16 13:44:14+00:00,Twitter Web App,2,60,0
"Danke, Matze! 👏

Fünf Jahre spielte Matze Ginter für #dieFohlen. Fünf Jahre voller Emotionen, Grätschen und Tore! 🤩

🎞 Best of Borussia ➡ https://t.co/U6ttkl5BpC https://t.co/uWUApQSSmj",315,2022-05-16 13:17:05+00:00,Twitter Media Studio,9,185,0
"Time flies! Glückwunsch zu diesem Meilenstein, Chris! 👏💚 https://t.co/CnvgDuIreL",519,2022-05-16 08:46:00+00:00,Twitter Web App,11,80,0
Zum Abschluss der Saison haben sich Hoffi und Lasso noch einmal in die @kicker Elf des Tages geknipst! 📸🎯 https://t.co/kmTwHBmhly,412,2022-05-16 08:08:48+00:00,Twitter Web App,3,129,0
"🗞 Die Trennung von Borussia und Trainer Adi Hütter, der Abschied von Spielern und Staff-Mitgliedern und ein Kantersieg zum Abschluss – alles Wichtige zum 5:1 der Fohlen gegen die TSG Hoffenheim 👇 #BMGTSG",148,2022-05-15 12:00:52+00:00,Twitter for Advertisers,2,203,0
"1️⃣5️⃣2️⃣ Bundesliga
1️⃣3️⃣ DFB-Pokal
1️⃣2️⃣ UEFA Europa League
6️⃣ UEFA Champions League
2️⃣ Relegation

Håvard Nordtveit hat hier 𝐚𝐥𝐥𝐞𝐬 erlebt! Gestern wurde er von der @tsghoffenheim und Borussia verabschiedet.

Wir wünschen dir für die Zukunft nur das Beste, lieber Howie! 💚✨ https://t.co/OA4MQKn8DW",601,2022-05-15 11:07:00+00:00,Twitter Web App,14,303,0
"🗣️ „Ein emotionaler Moment“

Nach der Bekanntgabe, dass Borussia und Adi Hütter künftig getrennte Wege gehen werden, stellte sich der 52-Jährige bei einer Pressekonferenz nochmal den Fragen der Medienvertreter. Wir haben seine Aussagen zusammengefasst. ⤵️
https://t.co/sBqXTxRSCE",126,2022-05-15 10:03:29+00:00,Twitter Web App,5,279,0
"Unser Jüngster wird ein Jahr älter! 🥳 Herzlichen Glückwunsch zum 19. Geburtstag, Luca! 💚 https://t.co/Z5DegyEnH2",621,2022-05-15 07:00:01+00:00,Twitter Web App,14,112,0
"🖤🤍💚 𝐃𝐀𝐍𝐊𝐄, 𝐅𝐀𝐍𝐒! 🖤🤍💚

#FohlenFamilie https://t.co/HN6qA13yTF",889,2022-05-14 18:01:00+00:00,Twitter Web App,54,60,0
"Ihr habt gewählt: Jonas Hofmann ist euer #CichonPM-Spieler des Spiels! 👌
Starke Leistung, Hoffi! 💚 https://t.co/91NL3x6B3e",278,2022-05-14 17:29:53+00:00,Twitter Web App,5,122,1
"🗣 Roland Virkus: ""Unsere Aufgabe ist es nun, die Schlüsse aus der Aufarbeitung der Saison zu ziehen und die entsprechenden Maßnahmen in die Wege zu leiten, um Ende Juni in einer neuen Konstellation in die Vorbereitung auf die neue Saison zu gehen.""",167,2022-05-14 16:13:56+00:00,Twitter Web App,5,248,1
"🗯 Adi Hütter: ""Ich kann mich bei dem Verein für die Offenheit, Ehrlichkeit und Klarheit nur bedanken.""",231,2022-05-14 16:13:56+00:00,Twitter Web App,6,102,1
"🗯 Adi Hütter: ""Wir sind im beiderseitigen Einvernehmen zu der Entscheidung gekommen, getrennte Wege zu gehen. Es ist schade und viel Wehmut dabei, weil ich mich hier sehr wohlgefühlt habe, aber wir haben leider sportlich nicht das gebracht, was wir uns alle vorgestellt haben.""",175,2022-05-14 16:13:55+00:00,Twitter Web App,4,277,1
"ℹ Borussia und Cheftrainer Adi Hütter haben sich einvernehmlich darauf verständigt, nach dem Ende der Saison 2021/22 getrennte Wege zu gehen. Das ist das Ergebnis der in den letzten Wochen und Tagen geführten Gespräche und Analysen der abgelaufenen Saison ⤵",2568,2022-05-14 15:56:18+00:00,Twitter for Advertisers,192,257,0
"Wer ist euer #CichonPM-Spieler des Spiels? Ihr habt die Qual der Wahl! 🗳

Jetzt in der #FohlenApp abstimmen! https://t.co/4NJjDfC9W5",50,2022-05-14 15:21:27+00:00,Twitter Web App,2,132,0
Was für ein Abschluss!! 🖤🤍💚 https://t.co/flaFwMGJK2,621,2022-05-14 15:19:09+00:00,Twitter Web App,45,51,0
"85': Die letzten 5️⃣ Minuten der Saison laufen.. ⏱

#Bundesliga #BMGTSG 5:1",53,2022-05-14 15:14:20+00:00,Twitter Web App,3,75,1
"80': Und noch ein Doppelwechsel bei Borussia!

↩️ Jonas Hofmann
↩️ Marvin Friedrich
↪️ Christoph Kramer
↪️ @MatzeGinter 

#Bundesliga #BMGTSG 5:1 https://t.co/Q3ZOk11T9A",82,2022-05-14 15:10:08+00:00,Twitter Web App,5,169,1
"🤯🤯🤯 
Soooo knapp &amp; sooo schön wäre es! 
Los, Flaco, weiter. Mach es!

#Bundesliga #BMGTSG 5:1",134,2022-05-14 15:07:02+00:00,Twitter Web App,3,97,0
"74': Doppelwechsel!

↩️ Stevie Lainer 
↩️ @stindl28 
↪️ Joe Scally
↪️ Patrick Herrmann

#Bundesliga #BMGTSG 5:1 https://t.co/bngdUXWjGl",51,2022-05-14 15:04:49+00:00,Twitter Web App,3,135,1
"Hoffi zum Zweiten. 😜 YEEEEES!!! 😍 DÖP, DÖP, DÖP...! 💚

#Bundesliga #BMGTSG 5:1 https://t.co/rS1ahIVLOB",132,2022-05-14 14:58:45+00:00,Twitter Web App,7,102,0
"63‘: #DieFohlen müssen verletzungsbedingt wechseln.

↩️ Breel Embolo
↪️ @MarcusThuram 

Gute &amp; schnelle Besserung, Breel! 🙏

#Bundesliga #BMGTSG 4:1 https://t.co/MSZ4ITlJrk",88,2022-05-14 14:54:10+00:00,Twitter Web App,2,176,1
"57': Uuuufff! Friedrich per Kopf. Da hat nicht viel gefehlt. 🤏

#Bundesliga #BMGTSG 4:1",65,2022-05-14 14:47:09+00:00,Twitter Web App,2,87,1
"TOOOOOOOR FÜR DIE BORUSSIA! 🖤🤍💚

#Bundesliga #BMGTSG 4:1 https://t.co/k5S9uxd2qy",139,2022-05-14 14:43:14+00:00,Twitter Web App,9,80,0
"▶️ Weiter geht's! Die letzten 45 Minuten dieser Saison laufen. Nochmal alles geben, Fohlen! 💪

#Bundesliga #BMGTSG 3:1 https://t.co/TsqlLzgcfu",64,2022-05-14 14:35:33+00:00,Twitter Web App,4,142,0
"BreelAIR 🔝😅

#Bundesliga #BMGTSG 3:1 https://t.co/edC72dk3s3",163,2022-05-14 14:33:56+00:00,Twitter Web App,8,60,0
"⏸️ Und dann ist Pause im BORUSSIA-PARK. 🥰

#Bundesliga #BMGTSG https://t.co/xCKEjWYp8T",150,2022-05-14 14:21:20+00:00,Twitter Web App,10,86,0
"DÖP, DÖP, DÖP...!!! Hoffiiii legt nach!!! 👏👏

#Bundesliga #BMGTSG 3:1 https://t.co/CD7u7WAIzO",157,2022-05-14 14:18:20+00:00,Twitter Web App,11,93,0
Als hätten wir es heraufbeschworen! 😜⚽️ #BMGTSG,49,2022-05-14 14:16:29+00:00,Twitter Web App,2,47,0
"JAAAAAAAAAAAAA! LASSOOO! VOM PUNKT! 🥰🥰🥰

#Bundesliga #BMGTSG 2:1 https://t.co/syqMphtnhJ",108,2022-05-14 14:15:14+00:00,Twitter Web App,7,88,0
"43': Elfmeter für Borussia!

#Bundesliga #BMGTSG 1:1",88,2022-05-14 14:13:43+00:00,Twitter Web App,4,52,1
"5⃣ Minuten noch im ersten Durchgang.
Passiert hier wohl noch etwas vor der Pause? 🤔

#Bundesliga #BMGTSG 1:1 https://t.co/KsJa1ktuMZ",70,2022-05-14 14:11:43+00:00,Twitter Web App,2,132,0
"Für Rolf. 🥰⚽️💚

#Bundesliga #BMGTSG 1:1 https://t.co/JuVsvzR4ny",290,2022-05-14 14:04:20+00:00,Twitter Web App,7,63,0
"26': Der Capitano markiert den Ausgleich! 💪 Danke, @stindl28! 💚

#Bundesliga #BMGTSG 1:1 https://t.co/Py6PPUhauH",120,2022-05-14 13:58:13+00:00,Twitter Web App,11,112,1
"Das neue Trikot steht dir, Manu! 😍👕 #BMGTSG

🆕➡️ https://t.co/CBX3UypQsT https://t.co/onOmGA18fa",137,2022-05-14 13:55:34+00:00,Twitter Web App,4,96,0
"22': Nächstes gutes Ding! 💪

#Bundesliga #BMGTSG 0:1",37,2022-05-14 13:53:12+00:00,Twitter Web App,2,52,1
"19': Erst Breel, dann der Capitano. Die Gäste sind aber jeweils zu Stelle. Die Richtung stimmt, Fohlen! 👏

#Bundesliga #BMGTSG 0:1 https://t.co/leNGcqup3D",46,2022-05-14 13:51:20+00:00,Twitter Web App,3,154,1
"16': Puuuh! Wieder Kramaric. Knapp neben den Kasten von Sommer. 

#Bundesliga #BMGTSG 0:1",43,2022-05-14 13:47:45+00:00,Twitter Web App,2,89,1
"10': Der Capitano sieht die Gelbe Karte. 🟨

#Bundesliga #BMGTSG 0:1",45,2022-05-14 13:42:02+00:00,Twitter Web App,2,67,1
"Der letzte Spieltag einer Bundesliga-Saison ist auch immer ein Tag der Abschiede. So wurden vor dem Anpfiff von #BMGTSG @MatzeGinter und @kbennetts_11 offiziell verabschiedet. #DieFohlen wünschen euch alles Gute für eure Zukunft, Matze &amp; Keanan! 🙏 https://t.co/paIRqfepyw",210,2022-05-14 13:38:58+00:00,Twitter Web App,12,275,0
"3': Kramaric bringt die Gäste früh in Führung. 😒

#Bundesliga #BMGTSG 0:1",78,2022-05-14 13:35:27+00:00,Twitter Web App,2,73,1
"1': Los geht's! Das letzte Spiel der Saison läuft. ⚽️

#Bundesliga #BMGTSG 0:0 https://t.co/9m5CCyCGtj",34,2022-05-14 13:31:29+00:00,Twitter Web App,3,102,1
"Unglaubliche 37 Jahre war Rolf Hülswitt für Borussia tätig. Im Alter von 80 Jahren ist für den „General“, wie ihn die Spieler respekt- wie liebevoll nennen, nun Schluss. Zuletzt war er als Zeugwart und Betreuer für die Trainingsausrüstung der Profis verantwortlich. 🖤🤍💚 #BMGTSG https://t.co/Q1TdnHzqba",311,2022-05-14 13:19:07+00:00,Twitter Web App,8,301,0
"✍ Sponsoring mit der @flatex DEGIRO AG bis 2️⃣0️⃣2️⃣7️⃣ verlängert!

Die flatexDEGIRO AG und Borussia haben vorzeitig verlängert. Mindestens bis 2024 wird flatex Hauptsponsor bleiben, für die drei nachfolgenden Jahre wurde ein Co-Sponsoring vereinbart. 

🗞️ https://t.co/K7cPKsONc0 https://t.co/KzjgGcigdv",145,2022-05-14 13:12:32+00:00,Twitter Web App,4,305,0
"Natürlich gibt’s auch das letzte Saisonspiel LIVE im @Bitburger #FohlenRadio. Für euch heute am Mikro: @tilli131. 🎙️  
📻 Schaltet ab 15:20 Uhr ein. Viel Spaß! ☺️ #BMGTSG

📲 https://t.co/Muua60Yl3f
💻 https://t.co/NlfevkSEWr https://t.co/FPC10IwRyD",30,2022-05-14 13:04:43+00:00,Twitter Web App,2,246,1
"🔜 #BMGTSG ⚽️

📺 LIVE @SkySportNews 
↪️ https://t.co/u6BNQHMj99 https://t.co/bLzd5OsEDV",43,2022-05-14 12:55:15+00:00,Twitter for iPhone,2,86,0
"👊✌️✋😉

#Bundesliga #BMGTSG https://t.co/uXPSp2kPIC",101,2022-05-14 12:47:15+00:00,Twitter Web App,2,50,0
"Hi Jungs ✌️ 

#Bundesliga #BMGTSG https://t.co/b3RA4tUEEi",71,2022-05-14 12:40:09+00:00,Twitter for iPhone,3,57,0
Und so starten die Gäste 👇 #BMGTSG https://t.co/YubX81gQeE,28,2022-05-14 12:38:07+00:00,Twitter Web App,3,58,0
"ℹ Nico Elvedi (gesperrt), Tony Jantschke (Knie-OP) und Jordan Beyer (muskuläre Probleme) stehen Borussia heute nicht zur Verfügung.",45,2022-05-14 12:34:05+00:00,Twitter Web App,4,131,0
💚 Mit dieser #FohlenElf geht’s ins letzte Spiel der Saison! 👇 #BMGTSG https://t.co/XFKtvyjc82,189,2022-05-14 12:31:14+00:00,Twitter Web App,17,93,0
"In 🔟 Minuten gibt's die Aufstellung! 👀 #BMGTSG 

🆕👕➡️ https://t.co/CBX3UypQsT https://t.co/qmdPcC7Lqd",108,2022-05-14 12:20:49+00:00,Twitter Web App,3,101,0
"Feinstes Fußball-Wetter ☀️🤙

#Bundesliga #BMGTSG https://t.co/2DW1TnuIk2",89,2022-05-14 12:15:09+00:00,Twitter for iPhone,2,72,0
"Hallo Schönheit 😍
Wer von euch ist heute nochmal live dabei? 🏟️

#Bundesliga #BMGTSG https://t.co/Jf2x7eRs8D",164,2022-05-14 12:02:34+00:00,Twitter Web App,3,108,0
"Tradition trifft Moderne ⚫️⚪️🟢

🆕👕➡️ https://t.co/wfOG2bIsk0 https://t.co/5d1KQgg8h8",518,2022-05-14 08:10:00+00:00,Twitter Web App,22,84,0
"Das neue Heimtrikot! 😍 Wie gefällt's euch?
@pumafootball x #DieFohlen

🆕👕➡️ https://t.co/wfOG2bIsk0 https://t.co/ojdMu2sAKu",473,2022-05-14 08:00:00+00:00,Twitter Web App,30,123,0
Was kann er nicht?! 🤹‍♂️ @YannSommer1 https://t.co/rI17TAZqNw,116,2022-05-13 19:22:14+00:00,Twitter Web App,4,61,0
📸 Letztes Training 2021/22 ☑️ https://t.co/ePK57H1qpe,173,2022-05-13 19:22:11+00:00,Twitter Web App,5,53,0
"Gerne die Serie fortsetzen, Jungs! 

Alle anderen Zahlen und Fakten zur Begegnung findet ihr hier ⤵",69,2022-05-13 14:00:03+00:00,Twitter for Advertisers,3,99,0
"Unter dem Motto „Bechern für den guten Zweck“ wird die „Nordkurve Aktiv“ im Stadion bei #BMGTSG Becher sammeln. Alle Zuschauer haben die Möglichkeit, ihre Becher an den gekennzeichneten Sammeltonnen abzugeben. Der Erlös wird an kriegsleidende Menschen in der Ukraine gespendet. https://t.co/uN1rlpbzGV",121,2022-05-13 13:20:48+00:00,Twitter Web App,10,301,0
@ProSieben Danke an alle Mitwirkenden und Unterstützer 💚,57,2022-05-13 11:01:28+00:00,Twitter Web App,2,56,0
"@ProSieben Bis Sonntagabend (15. Mai, 20:00 Uhr) werden aktuell auf https://t.co/hiZg2L7HdW Original-Borussia-Trikots aus dem Spiel sowie fünf Sondertrikots der ukrainischen Nationalmannschaft versteigert. Der Gesamterlös aus den Auktionen wird ebenfalls gespendet. https://t.co/O3u12Pwtz9",58,2022-05-13 11:01:14+00:00,Twitter Web App,7,289,0
@ProSieben Schon vor einiger Zeit hatte Borussia insgesamt knapp 180.000 Euro Spendengelder im Rahmen der Aktion #BorussiaHilft gesammelt. Spenden für die Opfer des Krieges in der Ukraine könnt ihr auch weiterhin direkt auf das Konto der Borussia Stiftung überweisen. https://t.co/vrU7Cu6Sdv,34,2022-05-13 11:00:25+00:00,Twitter Web App,0,291,0
"Darüber hinaus hatte @ProSieben im Rahmen der Live-Übertragung des Spiels zu Spenden an das Bündnis deutscher Hilfsorganisationen „Aktion Deutschland Hilft“ aufgerufen, sodass an diesem Abend insgesamt 642.745 Euro gesammelt werden konnten. https://t.co/CH4xXmj6ZQ",48,2022-05-13 10:59:30+00:00,Twitter Web App,1,264,0
"Roland Virkus: „Es ist uns eine große Freude, dass wir nicht nur der ukrainischen Mannschaft in der Vorbereitung auf die WM-Playoff-Spiele helfen konnten, sondern vor allem auch ein Zeichen der Menschlichkeit und der Solidarität setzen konnten.“ https://t.co/p2S3SAxVBv",47,2022-05-13 10:58:29+00:00,Twitter Web App,1,269,1
"Danke! Thank you! дякую!

Beim Benefizspiel zwischen der #FohlenElf und der ukrainischen Nationalmannschaft ist eine Gesamtspendensumme von 132.000 Euro für die notleidenden Menschen in der Ukraine zusammengekommen.

#StandWithUkraine #BorussiaHilft #FohlenVerantwortung #StopWar",264,2022-05-13 10:41:15+00:00,Twitter for Advertisers,9,279,0
"Für Borussias U23 geht es am letzten Spieltag um den Klassenerhalt. Die junge #FohlenElf kann beim Nachwuchs von Fortuna Düsseldorf (Samstag, 14:00 Uhr) mit einem Remis aus eigener Kraft den sicheren Ligaverbleib unter Dach und Fach bringen.

Viel Erfolg, Jungs! ✊",87,2022-05-13 07:22:42+00:00,Twitter for Advertisers,3,264,0
"📰☕ Morgen ist Spieltag! Als Frühstückslektüre gibt's für euch heute die Gegnervorschau.

🆚 Der Gegner: @tsghoffenheim
🧮 Tabellenplatz: 8
📈 Formkurve: U N N
👤 Trainer: Sebastian Hoeneß
🔢 System: 3-4-1-2
🔎 Im Fokus: David Raum",104,2022-05-13 05:00:00+00:00,Twitter for Advertisers,3,224,1
"Ihr könnt ab jetzt die Trikots aus dem gestrigen Benefizspiel in der #FohlenAuktion ersteigern. Auch diese Einnahmen kommen Menschen aus und in der Ukraine zu Gute.

🔨 https://t.co/hiZg2L7HdW https://t.co/ze6be84lxe",98,2022-05-12 15:01:00+00:00,Twitter Web App,3,215,0
🤜🤛 https://t.co/8fuoDX9whi,53,2022-05-12 13:56:49+00:00,Twitter for iPhone,4,26,0
⚽👀 https://t.co/5bGX1so1dK,68,2022-05-12 13:55:15+00:00,Twitter Web App,3,26,0
"Genauso am Samstag, Jonas! 💪☄ https://t.co/g0leyUbYG6",78,2022-05-12 13:55:12+00:00,Twitter Web App,3,53,0
Conor Noß - auch von 2️⃣ Gegnern nicht vom Ball zu trennen ⚽🔐 https://t.co/VVsEB3eX1m,211,2022-05-12 13:55:10+00:00,Twitter Web App,4,85,0
🍽 Aufgrund von personellen Engpässen gibt es in der #FohlenSportsbar kleinere Einschränkungen. Ab sofort bleibt die à la carte-Küche montags bis freitags jeweils von 15:00 bis 17:00 Uhr sowie sonntags komplett geschlossen.,51,2022-05-12 12:28:00+00:00,Twitter for Advertisers,2,222,0
Es gibt keine weiteren Fragen mehr – damit ist die Pressekonferenz vor #BMGTSG beendet. Hier könnt ihr sie euch noch einmal in voller Länge anschauen: https://t.co/lu60cnFbiS,21,2022-05-12 11:30:29+00:00,Twitter Web App,2,174,1
"Virkus: Wir haben mit dem einen oder anderen Spieler gute Gespräche geführt, bei denen es in die richtige Richtung geht. Es wird aber auch Jungs geben, die den Klub im Sommer verlassen werden. Das bietet aber auch die Chance, diese Spieler durch Neuzugänge zu ersetzen. #BMGTSG",35,2022-05-12 11:29:46+00:00,Twitter Web App,2,277,1
"Hütter: Tony Jantschke hat eine ähnliche Verletzung, wie sie zuletzt Jonas Hofmann hatte, erlitten und sich daher zu Beginn der Woche einem operativen Eingriff am Knie unterziehen müssen. Nach der Sommerpause wird er beim ersten Mannschaftstraining wieder dabei sein.  #BMGTSG",21,2022-05-12 11:26:37+00:00,Twitter Web App,1,276,1
"Virkus: Ein Abstieg unserer U23 wäre nicht gut für den Klub, da wir den Unterbau in der Regionalliga für die Entwicklung der jungen Spieler brauchen. Ich gehe aber davon aus, dass wir am Samstag das Minimalziel, den Klassenerhalt, schaffen werden. #BMGTSG",19,2022-05-12 11:18:36+00:00,Twitter Web App,1,255,1
"Hütter: Die Hoffenheimer waren zu Beginn der Rückrunde mal das Team der Stunde, jetzt sind sie aber schon seit acht Spielen sieglos. Trotzdem haben sie eine sehr gute Mannschaft, auch wenn sie mit ihrer Saison unter dem Strich wohl auch nicht zufrieden sind.  #BMGTSG",12,2022-05-12 11:16:54+00:00,Twitter Web App,1,267,1
"Hütter: @MarcusThuram hat eine gute Reha hinter sich und ist wahrscheinlich wieder eine Option für Samstag, von Anfang an spielen können wird er aber sicherlich noch nicht. Bei Jordan Beyer haben wir noch Hoffnung, das wird bis zum Spiel ein Wettlauf mit der Zeit. #BMGTSG",14,2022-05-12 11:14:25+00:00,Twitter Web App,1,272,1
"Hütter: Unruhe in einem Klub tut keinem gut, wir haben das auch gespürt. Auch wenn die Saison nicht zufriedenstellend war, sind wir zumindest in der Phase, in der wir gewackelt haben, standhaft geblieben und haben uns souverän aus der schwierigen Lage herausgearbeitet. #BMGTSG",10,2022-05-12 11:11:50+00:00,Twitter Web App,2,277,1
"Virkus: In den letzten Spielen hat sich die Truppe aus einer schwierigen Situation herausgearbeitet. Andere Klubs wären in so einer Lage abgestiegen. Wir haben es geschafft, in der Liga zu bleiben Darüber sind wir froh, auch wenn das nicht unser Anspruch sein kann. #BMGTSG",7,2022-05-12 11:09:54+00:00,Twitter Web App,1,273,1
"Hütter: Es war eine Saison, mit der wir nicht zufrieden sind. Es gab mehr Downs als Ups. Wir wollten weiter vorne sein und um die internationalen Plätze spielen. Zumindest haben wir uns aber aus einer prekären Situation herausgekämpft. #BMGTSG",12,2022-05-12 11:06:32+00:00,Twitter Web App,0,243,1
